"","date","sentido_ABEV3","lag_fechamento_ABEV3","lag_abertura_ABEV3","lag_volume_ABEV3","lag_retorno_ABEV3","lag_value_ABEV3","lag_diff"
"467",2013-11-21,"-1",20.11027284,20.37655739,12.3948027900553,-0.01599120313,69,-0.266284549999998
"468",2013-11-22,"1",19.99449694,19.97134176,12.1045381347059,-0.005773688081,78,0.0231551799999998
"469",2013-11-25,"-1",20.21447114,19.97134176,11.902396683324,0.01094165825,54,0.243129379999999
"470",2013-11-26,"1",20.13342802,20.24920391,11.8939612591552,-0.004017222046,58,-0.115775889999998
"471",2013-11-27,"-1",20.37655739,19.97134176,12.4817706955793,0.01200357368,63,0.405215629999997
"472",2013-11-28,"-1",20.34182463,20.3649798,11.9025457035166,-0.001705999831,76,-0.023155169999999
"473",2013-11-29,"1",20.21447114,20.42286775,11.4211061848791,-0.006280351802,60,-0.208396610000001
"474",2013-12-02,"-1",20.2210533,20.10589924,11.7840893604089,0.0003255633826,55,0.115154060000002
"475",2013-12-03,"-1",20.16347627,20.03680681,12.3379163648349,-0.002851441907,66,0.126669459999999
"476",2013-12-04,"-1",19.76043706,20.07135302,12.6355764939642,-0.02019105222,63,-0.310915959999999
"477",2013-12-05,"1",19.11557431,19.86407571,13.2275104702891,-0.03317839871,69,-0.748501400000002
"478",2013-12-06,"-1",19.40345946,19.38042865,12.4269736842916,0.01494796142,58,0.0230308100000016
"479",2013-12-09,"1",19.27679,19.59922137,12.2507591631526,-0.006549591721,60,-0.32243137
"480",2013-12-10,"-1",19.56467515,19.39194406,12.5726929698148,0.01482387061,51,0.172731089999999
"481",2013-12-11,"1",19.34588243,19.51861353,11.8450166903894,-0.01124604928,46,-0.1727311
"482",2013-12-12,"-1",19.42649028,19.34588243,11.6882895411967,0.004158010176,55,0.0806078499999998
"483",2013-12-13,"-1",19.11557431,19.40345946,11.9351690243172,-0.01613420121,45,-0.287885150000001
"484",2013-12-16,"1",18.89678159,19.23072837,11.8157965973877,-0.01151179026,55,-0.333946780000002
"485",2013-12-17,"-1",19.01193565,18.87375078,12.0336340905902,0.006075352825,60,0.13818487
"486",2013-12-18,"1",19.00042025,19.06951268,11.9328521650194,-0.0006058770145,56,-0.0690924299999978
"487",2013-12-19,"1",19.23072837,19.1040589,12.3925439136832,0.01204833851,55,0.126669470000003
"488",2013-12-20,"-1",19.61073678,19.57619056,12.0634716769312,0.01956777526,39,0.0345462199999993
"489",2013-12-23,"1",19.51861353,19.57619056,11.8906219009308,-0.004708660865,35,-0.0575770300000009
"490",2013-12-26,"-1",19.6567984,19.57619056,11.6431463840188,0.007054703005,36,0.080607839999999
"491",2013-12-27,"1",19.50709812,19.57619056,11.3342651974692,-0.007644847596,47,-0.0690924400000021
"492",2013-12-30,"1",19.69134462,19.57619056,11.7198745915889,0.009400774318,41,0.115154059999998
"493",2014-01-02,"1",19.76286523,19.62594007,11.4151913498068,0.003625503469,41,0.136925160000001
"494",2014-01-03,"-1",19.84273824,19.74004437,12.1587975830144,0.004033425237,45,0.10269387
"495",2014-01-06,"-1",19.28362716,19.8655591,13.2617182804285,-0.02858170642,53,-0.581931939999997
"496",2014-01-07,"1",19.16952285,19.34067931,12.2719493334231,-0.005934735535,56,-0.171156459999999
"497",2014-01-08,"1",19.77427566,19.44337318,12.9962240247793,0.0310602173,59,0.330902480000002
"498",2014-01-09,"-1",19.96825297,19.79709652,12.509774463902,0.009761777222,51,0.171156450000002
"499",2014-01-10,"1",19.50042533,19.92261125,12.2384478662886,-0.0237073838,73,-0.42218592
"500",2014-01-13,"-1",19.62594007,19.51183576,12.6832380678035,0.006415886693,47,0.114104309999998
"501",2014-01-14,"1",19.44337318,19.6031192,11.6816550682447,-0.009345862453,60,-0.15974602
"502",2014-01-15,"1",19.68299222,19.43196275,12.0254795940099,0.01224862209,61,0.251029469999999
