"","date","ativo","retorno","fechamento","abertura","volume","value","lag_fechamento","lag_volume","lag_value","lag_abertura","lag_retorno","lag_diff"
"6890",2015-11-30,"ITSA4",-0.02374818016,5.229797713,5.265865284,12.6754573332711,82,5.355482376,12.3382099418539,61,5.457491564,-0.02419472858,-0.102009187999999
"6891",2015-12-01,"ITSA4",0.02659549865,5.370752869,5.291239704,12.3450603752366,75,5.229797713,12.6754573332711,82,5.265865284,-0.02374818016,-0.0360675710000002
"6892",2015-12-02,"ITSA4",-0.01765151057,5.276782765,5.349067461,12.5068806942009,63,5.370752869,12.3450603752366,75,5.291239704,0.02659549865,0.0795131650000007
"6893",2015-12-03,"ITSA4",0.04027389913,5.493636852,5.457494504,12.7435976474727,60,5.276782765,12.5068806942009,63,5.349067461,-0.01765151057,-0.0722846959999996
"6894",2015-12-04,"ITSA4",-0.01058210932,5.435809095,5.471951443,12.0514168381475,69,5.493636852,12.7435976474727,60,5.457494504,0.04027389913,0.0361423480000003
"6895",2015-12-07,"ITSA4",-0.01069528913,5.377981339,5.471951443,12.0568240972648,72,5.435809095,12.0514168381475,69,5.471951443,-0.01058210932,-0.0361423480000003
"6896",2015-12-08,"ITSA4",-0.006743113883,5.341838991,5.385209809,12.0289177186876,63,5.377981339,12.0568240972648,72,5.471951443,-0.01069528913,-0.0939701040000003
"6897",2015-12-09,"ITSA4",0.04885459925,5.609292364,5.421352156,12.5976889670049,63,5.341838991,12.0289177186876,63,5.385209809,-0.006743113883,-0.0433708179999996
"6898",2015-12-10,"ITSA4",-0.002503425501,5.595267481,5.624638964,11.9333317293477,66,5.609292364,12.5976889670049,63,5.421352156,0.04885459925,0.187940208
"6899",2015-12-11,"ITSA4",-0.00658330224,5.558553128,5.514495903,11.8863975438422,60,5.595267481,11.9333317293477,66,5.624638964,-0.002503425501,-0.0293714830000003
"6900",2015-12-14,"ITSA4",-0.03085422483,5.389667101,5.536524516,11.6520350206744,64,5.558553128,11.8863975438422,60,5.514495903,-0.00658330224,0.0440572249999995
"6901",2015-12-15,"ITSA4",0.005434795997,5.419038584,5.433724326,11.5940076322184,69,5.389667101,11.6520350206744,64,5.536524516,-0.03085422483,-0.146857415
"6902",2015-12-16,"ITSA4",-0.006798122723,5.382324231,5.397009972,12.3140477401955,62,5.419038584,11.5940076322184,69,5.433724326,0.005434795997,-0.0146857420000002
"6903",2015-12-17,"ITSA4",0.02425994988,5.514495903,5.536524516,11.9887434082842,61,5.382324231,12.3140477401955,62,5.397009972,-0.006798122723,-0.0146857410000001
"6904",2015-12-18,"ITSA4",-0.04912310908,5.250152558,5.389667101,12.3611557476595,75,5.514495903,11.9887434082842,61,5.536524516,0.02425994988,-0.0220286129999998
"6905",2015-12-21,"ITSA4",-0.01834913866,5.154695239,5.279524041,12.2355586295866,70,5.250152558,12.3611557476595,75,5.389667101,-0.04912310908,-0.139514543
"6906",2015-12-22,"ITSA4",0.004264398781,5.176723851,5.206095334,11.6047295054453,63,5.154695239,12.2355586295866,70,5.279524041,-0.01834913866,-0.124828802000001
