Ano,ativo,ret_medio,ret_mediano,ret_sd,ret_min,ret_max,volume_medio,volume_mediano,volume_sd,volume_min,volume_max,value_medio,value_mediano,value_sd,value_min,value_max
2018,ITUB4,0.0010295829160648982,0.001055409063,0.018921329890267465,-0.05371998696,0.05778151444,13.327140350232982,13.297445458986815,0.41452580838314584,12.134044816071038,14.985377824293492,39.608163265306125,36,16.5680889794886,12,100
2012,PETR3,-0.001016102994507377,-1.971997711e-4,0.02168847472925093,-0.08701137701,0.07027280698,12.191110535897074,12.231702497226863,0.40870338455844135,10.945635304223112,13.467938343899425,26.639344262295083,33,23.9924767267978,0,100
2013,PETR3,-9.83571052677823e-4,-0.001741290531,0.02552691763028531,-0.1094932552,0.1411339984,12.294949793922738,12.269743645910697,0.45414631116812315,10.856148785719933,14.082360132985634,31.903225806451612,26,19.203963556325856,0,100
2014,PETR3,-0.0021718095045850793,-0.002177702432,0.033453030741504054,-0.1203340574,0.1059313153,12.509947921783771,12.488942528708742,0.680356535419698,9.53575166123797,14.440184553405484,31.608870967741936,30,18.715757988943224,0,100
2015,PETR3,-8.693795829321141e-4,-0.0012645489465,0.03937905755914495,-0.1106766035,0.133093724,12.242387279455045,12.23255006373918,0.46799771828526776,10.874664117894554,14.14166618951925,35.19512195121951,33.5,14.971624064473579,7,100
2016,PETR3,0.0024916756369847397,7.270083673e-4,0.037848984782055124,-0.09246522761,0.149662342,11.966768942566476,11.992638059309098,0.47445654487395,9.930129483482549,13.345615722800249,51.74698795180723,50,17.626165054259975,17,100
2017,PETR3,-1.2528468309674811e-4,7.619798752e-4,0.02075884235741167,-0.1206598405,0.06158498047,11.692213189680981,11.685904325671276,0.4906567958024139,9.872719018864492,13.650751474134536,43.890243902439025,41,17.261971484512003,12,100
2018,PETR3,0.0015500183821285712,0.001641362699,0.031200375973192054,-0.1615385762,0.1167157098,12.391836907136268,12.378991804661482,0.5553961383987586,10.721283037661184,13.799035587870394,35.7469387755102,35,18.401299647178526,9,100
2012,PETR4,-7.35662306239754e-4,-8.1693404445e-4,0.0213887668901396,-0.09377682913,0.06741848125,13.50186522746802,13.485149677422378,0.35256121560733006,12.45316707100017,14.985432144242662,35.618852459016395,33.5,16.03488394733431,0,100
2013,PETR4,-6.130027877209675e-4,-7.782281545e-4,0.022190806050849905,-0.09656619839,0.08615553583,13.462383576786355,13.473989957454933,0.3850148365880311,12.006840914262277,14.51181275621752,37.439516129032256,34,16.04637670731113,0,100
2014,PETR4,-0.0021520079851447584,-0.0024342202685,0.03478467870882113,-0.1316051159,0.1123780884,13.66153023125451,13.589033163268695,0.5677722142848347,12.068498807507696,15.19742283174875,34.604838709677416,32,21.173208396934886,3,100
